ID_ERB,OPERADORA,UF,MUNICIPIO,BAIRRO,LOGRADOURO,CEP,TIPO_ESTACAO,TECNOLOGIA,FREQUENCIA,LATITUDE,LONGITUDE,PADRAO,MCC,MNC,LAC,CID,ARFCN,SETOR,RSSI,ALTURA,STATUS,FAIXA,FREQ_INICIAL,FREQ_FINAL,CLASSE_EMISSAO,POTENCIA,COMPARTILHAMENTO
1000001021,TIM,RS,Bossoroca,CENTRO,"RUA DR ALVES VALENCA, S N,",4302501,Greenfield ,2G - 4G,700 - 900 - 1800,-28.72917,-54.9075,,,,,,,,,39269.8,nao,FB,955.00000000,957.50000000,200KM7W,12.0,sim
1000001030,TIM,RS,Capao da Canoa,CAPAO NOVO,"AVENIDA DAS GAIVOTAS, 4360,",4304630,Greenfield ,2G - 3G - 4G - 5G,1800 - 2100 - 3500,-29.687642,-49.979994,,,,,,,,,7341.8,nao,FB,1805.00000000,1820.00000000,200KM7W,15.1,sim
1000001110,TIM,GO,Abadia de Goias,PARQUE ISABEL,"RUA JK, S N, QD 01 LT 08",5200050,Greenfield ,2G - 3G - 4G - 5G,700 - 900 - 1800 - 2100 - 3500,-16.760139,-49.437556,,,,,,,,,1597.4,nao,,,,,6801.4,nao
1000001366,TIM,RS,Santo Cristo,CENTRO,"RUA VEREADOR MEURER, 323,",4317905,Greenfield ,2G - 4G,700 - 900 - 1800,-27.821944,-54.666111,,,,,,,,,19016.1,nao,,,,,16118.3,nao
1000001463,TIM,GO,Ipameri,CENTRO,"RUA 8, S N,",5210109,Greenfield ,2G - 4G,900 - 1800,-17.722678,-48.157339,,,,,,,,,2344.6,nao,FB,880.00000000,890.00000000,40K0G3E,328.9,sim
1000001480,TIM,MT,Guaranta do Norte,CENTRO,"Rua Inhare, S N, Qd. 47 Esquina Com A Dos Cedros Lt 18",5104104,Greenfield ,2G - 3G - 4G - 5G,700 - 900 - 1800 - 2100 - 3500,-99.52166,-54.909972,,,,,,,,,7492999.4,nao,,,,,7319745.8,nao
1000001986,CLARO,SP,Sao Paulo,LAUZANE PAULISTA,"R CONSELHEIRO MOREIRA DE BARROS, 2780, SHOPPING SANTANA PARQUE",3550308,Rooftop ,2G - 3G - 4G - 5G,700 - 850 - 1800 - 2100 - 2300 - 2500 - 3500,-23.48298,-46.64489,,,,,,,,,1415.9,nao,FB,2650.00000000,2660.00000000,5M00G7W,34.3,sim
1000001994,CLARO,PR,Ipiranga,CENTRO,"R ALCIDES MACEDO, S N, LOTE 07 - QUADRA 05 ESQUINA COM PREFEITO ANTONIO C. OLIVEIRA",4110508,Greenfield ,2G - 3G - 4G,700 - 900 - 1800 - 2100,-25.02189,-50.58071,,,,,,,,,15584.3,nao,FB,880.000,890.000,1M25FXW,6.3,sim
1000002338,TIM,MG,Juiz de Fora,BANDEIRANTES,"Rua Mozart Rodrigues Da Silva, 25, -",3136702,Nao Informada,2G - 3G - 4G - 5G,700 - 850 - 1800 - 2100 - 2500 - 3500,-21.723361,-43.3565,,,,,,,,,2510.8,nao,,,,,1120.4,nao
1000002389,VIVO,RO,Ministro Andreazza,CENTRO,"RUA MARTIN LUTERO , S N,",1101203,Greenfield ,2G - 3G - 4G,700 - 850 - 2100 - 2500,-11.197478,-61.518878,,,,,,,,,42642.0,nao,FB,890.000,891.500,1M25G7W,0.0,sim
1000002397,CLARO,PB,Joao Pessoa,Mangabeira,"RUA MONSENHOR ARLINDO BEZERRA CAMBOIM, S N, QUADRA 01, LOTE 08",2507507,Greenfield ,2G - 3G - 4G - 5G,700 - 850 - 1800 - 2100 - 2500 - 3500,-71.8908,-34.8377,,,,,,,,,4538665.5,nao,,,,,4385247.3,nao
1000002990,VIVO,PR,Toledo,(vazio),"RUA ENGENHEIRO REBOUCAS ,16,WALTER FONTANA, ,",4127700,Nao Informada,2G,850,-24.74361,-53.72306,UMTS,724.0,6.0,40145.0,2950617.0,3150.0,35.0,0.0,957.7,sim,FB,880.00000000,890.00000000,1M25G7W,0.5,sim
